,carat,cut,color,clarity,depth,table,price,x,y,z
360,0.27,Ideal,I,VS1,62.2,55.0,432,4.15,4.18,2.59
361,0.27,Ideal,I,VS1,62.1,54.0,432,4.16,4.18,2.59
362,0.24,Ideal,I,VS1,62.0,56.0,432,4.0,4.01,2.48
363,0.3,Ideal,G,SI1,62.3,56.0,432,4.29,4.32,2.68
364,0.3,Ideal,G,SI1,61.6,57.0,432,4.29,4.34,2.66
365,0.3,Ideal,G,SI1,62.0,57.0,432,4.27,4.31,2.66
366,0.3,Ideal,G,SI1,60.6,56.0,432,4.35,4.4,2.65
367,0.24,Ideal,I,VVS1,62.3,57.0,432,3.98,3.95,2.47
368,0.24,Ideal,J,VVS2,62.8,57.0,432,3.96,3.94,2.48
369,0.3,Good,H,SI1,63.7,57.0,432,4.26,4.28,2.72
370,0.32,Good,I,SI1,63.1,56.0,432,4.36,4.39,2.76
371,0.32,Very Good,I,SI1,62.9,58.0,432,4.33,4.35,2.73
372,0.32,Ideal,I,SI1,60.7,57.0,432,4.42,4.47,2.7
373,0.32,Very Good,I,SI1,62.8,58.0,432,4.34,4.39,2.74
374,0.3,Good,H,SI1,63.4,60.0,432,4.23,4.25,2.69
375,0.3,Very Good,H,SI1,60.9,59.0,432,4.29,4.31,2.62
376,0.3,Very Good,H,SI1,62.9,59.0,432,4.24,4.28,2.68
377,0.3,Very Good,H,SI1,62.9,57.0,432,4.22,4.27,2.67
378,0.3,Very Good,H,SI1,62.9,58.0,432,4.24,4.28,2.68
379,0.32,Good,I,SI1,63.9,55.0,432,4.34,4.36,2.78
380,0.32,Premium,I,SI1,61.0,59.0,432,4.36,4.39,2.67
381,0.3,Good,H,SI1,63.3,56.0,432,4.27,4.29,2.71
382,0.3,Good,H,SI1,63.1,56.0,432,4.27,4.29,2.7
383,0.32,Ideal,I,SI1,62.4,57.0,432,4.35,4.37,2.72
384,0.32,Premium,I,SI1,62.7,58.0,432,4.34,4.37,2.73
385,0.3,Good,H,SI1,63.8,55.0,432,4.2,4.26,2.7
386,0.3,Very Good,H,SI1,60.1,55.0,432,4.38,4.41,2.64
387,0.3,Very Good,H,SI1,62.5,57.0,432,4.25,4.29,2.67
388,0.24,Premium,H,VVS1,61.2,58.0,432,3.96,4.01,2.44
389,0.24,Very Good,H,VVS2,60.7,58.0,432,4.04,4.07,2.46
390,0.24,Premium,H,VVS1,60.8,59.0,432,4.0,4.02,2.44
391,0.24,Very Good,G,VVS1,62.3,59.0,432,3.92,3.95,2.45
392,0.31,Very Good,G,SI2,61.7,55.0,433,4.37,4.4,2.71
393,0.33,Ideal,H,SI2,61.1,57.0,433,4.46,4.48,2.73
394,0.33,Ideal,H,SI2,61.3,55.0,433,4.48,4.49,2.75
395,0.33,Ideal,H,SI2,61.4,55.0,433,4.47,4.49,2.75
396,0.23,Very Good,H,VVS1,61.6,56.0,434,3.94,3.97,2.43
397,0.28,Very Good,E,VS1,62.8,60.0,434,4.16,4.21,2.63
398,0.26,Ideal,H,VS2,62.1,55.0,434,4.08,4.1,2.54
399,0.26,Ideal,H,VS2,61.3,56.0,434,4.09,4.13,2.52
400,0.26,Ideal,I,VS1,62.1,55.0,434,4.11,4.13,2.56
401,0.32,Ideal,H,SI2,60.9,56.0,434,4.41,4.45,2.7
402,0.32,Ideal,H,SI1,61.5,55.0,434,4.41,4.43,2.72
403,0.23,Premium,H,VS1,59.4,61.0,434,4.05,4.0,2.39
404,0.33,Very Good,I,SI1,63.0,57.0,434,4.37,4.39,2.76
405,0.33,Premium,G,SI2,62.6,58.0,434,4.4,4.42,2.76
406,0.33,Very Good,J,VS1,62.8,58.0,434,4.38,4.41,2.76
407,0.33,Very Good,G,SI2,62.9,55.0,434,4.41,4.46,2.79
408,0.33,Very Good,G,SI2,59.4,59.0,434,4.5,4.52,2.68
409,0.33,Good,I,SI1,63.6,53.0,434,4.4,4.43,2.81
410,0.33,Ideal,G,SI2,61.9,56.0,434,4.41,4.45,2.74
411,0.33,Premium,F,SI2,62.3,58.0,434,4.4,4.43,2.75
412,0.33,Very Good,J,VS1,61.5,61.0,434,4.39,4.46,2.72
413,0.33,Premium,I,SI1,60.4,59.0,434,4.5,4.54,2.73
414,0.33,Ideal,J,VS1,62.1,55.0,434,4.41,4.44,2.75
415,0.33,Very Good,F,SI2,63.0,58.0,434,4.4,4.42,2.78
416,0.29,Ideal,J,VS1,61.8,56.0,435,4.23,4.26,2.62
417,0.31,Ideal,E,SI2,61.7,56.0,435,4.35,4.4,2.7
418,0.31,Very Good,E,SI2,60.8,61.0,435,4.39,4.43,2.68
419,0.31,Very Good,I,VS2,62.3,57.0,435,4.32,4.35,2.7
420,0.31,Very Good,E,SI2,61.2,61.0,435,4.36,4.37,2.67
421,0.31,Good,I,VS2,63.1,54.0,435,4.31,4.34,2.73
422,0.31,Good,H,SI1,63.6,57.0,435,4.28,4.31,2.73
423,0.31,Very Good,H,SI1,62.9,56.0,435,4.27,4.31,2.7
424,0.25,Very Good,F,VS1,61.2,59.0,435,4.02,4.05,2.47
425,0.25,Premium,E,VS1,61.5,60.0,435,4.02,4.04,2.48
426,0.31,Good,I,VS2,63.2,55.0,435,4.3,4.4,2.75
427,0.31,Premium,I,VS2,61.1,58.0,435,4.36,4.38,2.67
428,0.25,Premium,E,VS1,60.7,59.0,435,4.11,4.13,2.5
429,0.31,Very Good,I,VS2,60.8,60.0,435,4.37,4.42,2.67
430,0.31,Ideal,I,VS2,59.9,57.0,435,4.38,4.4,2.63
431,0.31,Very Good,I,VS2,60.7,61.0,435,4.32,4.34,2.63
432,0.31,Premium,I,VS2,59.9,60.0,435,4.41,4.44,2.65
433,0.31,Very Good,H,SI1,61.7,59.0,435,4.36,4.39,2.7
434,0.31,Premium,H,SI1,62.7,58.0,435,4.31,4.34,2.71
435,0.31,Ideal,E,SI2,60.1,57.0,435,4.41,4.44,2.66
436,0.31,Very Good,H,SI1,62.4,57.0,435,4.31,4.35,2.7
437,0.31,Premium,I,VS2,62.3,60.0,435,4.31,4.32,2.69
438,0.31,Premium,G,VS2,61.8,58.0,435,4.35,4.39,2.7
439,0.31,Premium,E,SI2,60.9,60.0,435,4.35,4.38,2.66
440,0.31,Very Good,H,SI1,58.7,60.0,435,4.43,4.47,2.61
441,0.31,Very Good,H,SI1,61.0,61.0,435,4.33,4.39,2.66
442,0.25,Good,F,VS1,63.6,57.0,435,4.01,4.04,2.56
443,0.31,Very Good,H,SI1,62.8,58.0,435,4.28,4.32,2.7
444,0.31,Premium,I,VS2,59.8,60.0,435,4.38,4.42,2.63
445,0.31,Ideal,E,SI2,61.3,55.0,435,4.34,4.37,2.67
446,0.31,Premium,I,VS2,60.8,58.0,435,4.34,4.37,2.65
447,0.31,Good,H,VS1,57.5,60.0,435,4.46,4.51,2.58
448,0.25,Very Good,E,VS2,63.3,56.0,436,4.01,4.05,2.55
449,0.25,Very Good,F,VS1,62.1,58.0,436,4.0,4.05,2.5
450,0.25,Very Good,F,VS1,59.7,57.0,436,4.13,4.21,2.49
451,0.25,Very Good,F,VS1,59.6,56.0,436,4.13,4.16,2.47
452,0.25,Very Good,E,VS1,59.9,56.0,436,4.1,4.15,2.47
453,0.25,Very Good,D,VS1,63.0,59.0,436,3.97,4.0,2.51
454,0.25,Ideal,F,VS2,62.8,57.0,436,3.98,4.01,2.51
455,0.24,Ideal,G,VS1,62.3,57.0,436,3.99,4.02,2.49
456,0.25,Ideal,F,VS1,61.8,57.0,436,4.07,4.09,2.52
457,0.31,Ideal,G,SI2,62.0,54.0,436,4.38,4.42,2.73
458,0.31,Ideal,G,SI2,62.2,54.0,436,4.36,4.39,2.72
459,0.31,Ideal,G,SI2,61.9,55.0,436,4.37,4.39,2.71
460,0.31,Ideal,I,SI1,62.1,54.0,436,4.37,4.39,2.72
461,0.31,Ideal,I,SI1,61.9,56.0,436,4.33,4.36,2.69
462,0.31,Ideal,I,SI1,61.3,56.0,436,4.37,4.4,2.69
463,0.31,Ideal,I,SI1,60.8,56.0,436,4.38,4.41,2.67
464,0.31,Ideal,I,SI1,61.5,55.0,436,4.36,4.39,2.69
465,0.31,Ideal,I,SI1,62.0,53.0,436,4.37,4.4,2.72
466,0.31,Ideal,I,SI1,62.2,54.0,436,4.36,4.39,2.72
467,0.3,Ideal,I,VS2,61.3,58.0,438,4.3,4.31,2.64
468,0.3,Ideal,I,VS2,61.6,57.0,438,4.28,4.33,2.65
469,0.3,Ideal,I,VS2,61.5,58.0,438,4.28,4.31,2.64
470,0.3,Ideal,I,VS2,60.3,57.0,438,4.36,4.39,2.64
471,0.3,Ideal,I,VS2,61.4,58.0,438,4.29,4.31,2.64
472,0.3,Ideal,I,VS2,62.1,54.0,438,4.32,4.35,2.69
473,0.3,Ideal,I,VS2,62.0,55.0,438,4.3,4.35,2.68
474,0.3,Ideal,I,VS2,62.7,54.0,438,4.28,4.3,2.69
475,0.25,Ideal,G,VS1,62.0,54.0,438,4.06,4.07,2.52
476,0.25,Ideal,G,VS1,62.3,54.0,438,4.05,4.11,2.54
477,0.25,Ideal,G,VS1,62.6,53.0,438,4.01,4.07,2.53
478,0.25,Ideal,G,VS1,62.7,54.0,438,4.05,4.08,2.55
479,0.34,Ideal,F,SI2,61.9,57.0,438,4.5,4.52,2.79
480,0.23,Very Good,G,VVS2,58.1,59.0,438,4.09,4.03,2.36
481,0.27,Very Good,G,VS2,61.5,57.0,439,4.18,4.22,2.58
482,0.27,Very Good,G,VS1,61.9,56.0,439,4.14,4.17,2.57
483,0.27,Very Good,G,VS1,61.0,54.0,439,4.19,4.21,2.56
484,0.27,Very Good,G,VS1,61.9,56.0,439,4.13,4.16,2.56
485,0.3,Ideal,J,VVS2,62.1,56.0,439,4.31,4.32,2.68
486,0.3,Ideal,J,VVS2,62.3,58.0,439,4.26,4.28,2.66
487,0.36,Ideal,I,SI2,62.1,54.0,439,4.56,4.58,2.84
488,0.36,Ideal,J,SI1,62.3,53.0,439,4.59,4.62,2.87
489,0.3,Ideal,I,SI1,60.4,59.0,439,4.33,4.35,2.62
490,0.23,Good,E,VVS1,59.9,65.0,439,3.93,3.95,2.36
491,0.3,Good,J,SI1,64.0,55.0,439,4.28,4.25,2.73
492,0.34,Ideal,H,SI1,61.4,55.0,440,4.51,4.55,2.78
493,0.26,Good,H,VVS2,63.4,55.0,440,4.05,4.06,2.57
494,0.26,Very Good,H,VVS2,59.8,61.0,440,4.15,4.18,2.49
495,0.31,Ideal,H,SI1,61.8,54.0,441,4.35,4.4,2.7
496,0.3,Good,J,VS2,64.1,58.0,441,4.26,4.23,2.72
497,0.32,Good,D,SI2,64.1,54.0,441,4.34,4.37,2.79
498,0.35,Premium,H,SI2,61.6,58.0,441,4.49,4.54,2.78
499,0.27,Very Good,G,VVS2,61.9,57.0,442,4.12,4.15,2.56
500,0.31,Very Good,I,VS2,61.5,55.0,442,4.34,4.36,2.68
501,0.23,Very Good,E,VS1,61.3,56.0,442,3.96,3.98,2.43
502,0.24,Ideal,H,VVS2,62.5,54.0,442,3.95,3.98,2.48
503,0.32,Ideal,J,VS1,62.0,54.7,442,4.39,4.42,2.73
504,0.24,Ideal,G,VS1,61.8,56.0,442,3.99,4.04,2.48
505,0.3,Ideal,H,SI1,62.4,53.7,442,4.29,4.31,2.68
506,0.23,Good,F,VS2,61.0,57.0,442,3.97,4.01,2.44
507,0.3,Very Good,I,VS1,61.8,63.0,442,4.26,4.29,2.64
508,0.3,Very Good,I,VS1,61.6,61.0,442,4.23,4.28,2.62
509,0.27,Very Good,J,VVS2,60.8,57.0,443,4.16,4.2,2.54
510,0.31,Ideal,G,SI1,61.3,58.0,443,4.37,4.4,2.69
511,0.29,Very Good,H,VS1,62.2,56.0,444,4.24,4.27,2.64
512,0.29,Ideal,I,VS1,61.7,56.0,444,4.22,4.27,2.62
513,0.32,Premium,E,I1,60.9,58.0,444,4.42,4.38,2.68
514,0.27,Very Good,H,VVS2,61.2,58.0,445,4.16,4.2,2.56
515,0.26,Very Good,I,SI1,59.2,60.0,445,4.2,4.24,2.5
516,0.25,Ideal,H,VS1,61.5,56.0,445,4.05,4.08,2.5
517,0.25,Ideal,H,VS1,62.6,53.0,445,4.04,4.08,2.54
518,0.33,Very Good,I,SI1,61.4,58.0,445,4.46,4.5,2.75
519,0.33,Ideal,I,SI1,61.5,57.0,445,4.46,4.49,2.75
520,0.33,Premium,I,SI1,61.3,59.0,445,4.46,4.51,2.75
521,0.33,Ideal,I,SI1,62.7,56.0,445,4.4,4.44,2.77
522,0.33,Very Good,I,SI1,62.8,58.0,445,4.39,4.43,2.77
523,0.33,Good,I,SI1,63.6,57.0,445,4.39,4.42,2.8
524,0.33,Good,I,SI1,63.2,58.0,445,4.36,4.38,2.76
525,0.32,Ideal,G,SI1,62.6,55.0,445,4.38,4.41,2.75
526,0.23,Premium,F,VVS2,61.3,59.0,445,3.94,3.99,2.43
527,0.34,Good,E,SI2,63.1,56.0,445,4.46,4.51,2.83
528,0.35,Ideal,J,VS2,61.8,55.0,446,4.54,4.56,2.81
529,0.35,Ideal,J,VS2,61.4,55.0,446,4.55,4.57,2.8
530,0.31,Ideal,G,SI1,61.7,54.0,446,4.38,4.4,2.71
531,0.31,Ideal,G,SI1,61.2,55.0,446,4.37,4.39,2.68
532,0.36,Premium,F,SI2,60.3,59.0,446,4.62,4.57,2.77
533,0.31,Very Good,H,SI1,62.4,60.0,446,4.32,4.34,2.7
534,0.31,Very Good,H,SI1,61.1,55.0,446,4.35,4.39,2.67
535,0.31,Very Good,H,SI1,61.4,55.0,446,4.36,4.44,2.7
536,0.31,Good,H,SI1,63.6,57.0,446,4.32,4.33,2.75
537,0.31,Ideal,H,SI1,62.7,56.0,446,4.33,4.38,2.73
538,0.31,Very Good,H,SI1,62.3,55.0,446,4.34,4.36,2.71
539,0.31,Very Good,H,SI1,61.1,57.0,446,4.32,4.35,2.65
540,0.31,Good,H,SI1,63.1,57.0,446,4.31,4.34,2.73
541,0.31,Very Good,H,SI1,59.0,57.0,446,4.4,4.44,2.61
542,0.31,Very Good,H,SI1,60.5,60.0,446,4.33,4.4,2.64
543,0.31,Ideal,I,VS2,62.1,53.7,447,4.37,4.4,2.72
544,0.31,Ideal,I,VS2,62.3,53.8,447,4.32,4.36,2.7
545,0.26,Ideal,F,SI1,61.8,55.0,447,4.12,4.14,2.55
546,0.23,Good,F,VS2,63.8,57.0,447,3.93,3.84,2.48
547,0.3,Very Good,D,SI2,61.2,60.0,447,4.28,4.31,2.63
548,0.3,Very Good,D,SI2,61.4,59.0,447,4.26,4.31,2.63
549,0.3,Very Good,D,SI2,62.4,59.0,447,4.25,4.28,2.66
550,0.3,Very Good,G,SI1,61.0,57.0,447,4.31,4.34,2.64
551,0.34,Very Good,I,SI1,59.2,61.0,447,4.57,4.58,2.71
552,0.34,Very Good,I,SI1,61.3,61.0,447,4.45,4.49,2.74
553,0.34,Very Good,F,SI2,60.0,62.0,447,4.51,4.55,2.72
554,0.34,Premium,F,SI2,60.0,58.0,447,4.55,4.58,2.74
555,0.34,Very Good,J,VS1,61.7,58.0,447,4.41,4.47,2.74
556,0.34,Very Good,F,SI2,63.0,58.0,447,4.45,4.47,2.81
557,0.3,Very Good,G,SI1,62.6,57.0,447,4.25,4.34,2.69
558,0.3,Premium,D,SI2,60.9,58.0,447,4.29,4.32,2.62
559,0.3,Good,G,SI1,63.8,56.0,447,4.26,4.3,2.73
560,0.3,Very Good,G,SI1,59.8,57.0,447,4.32,4.37,2.6
561,0.34,Good,F,SI2,63.3,54.0,447,4.46,4.48,2.83
562,0.3,Good,D,SI2,63.3,57.0,447,4.26,4.3,2.71
563,0.34,Ideal,F,SI2,60.1,56.0,447,4.54,4.55,2.73
564,0.34,Premium,I,SI1,60.2,59.0,447,4.52,4.55,2.73
565,0.3,Very Good,G,SI1,60.1,62.0,447,4.35,4.37,2.62
566,0.3,Very Good,D,SI2,63.0,55.0,447,4.25,4.26,2.68
567,0.3,Premium,D,SI2,62.4,58.0,447,4.28,4.31,2.68
568,0.3,Ideal,D,SI2,61.1,55.0,447,4.32,4.35,2.65
569,0.3,Very Good,D,SI2,61.0,61.0,447,4.25,4.31,2.61
570,0.3,Very Good,D,SI2,62.9,58.0,447,4.26,4.29,2.69
571,0.3,Very Good,G,SI1,61.6,59.0,447,4.26,4.28,2.63
572,0.3,Premium,D,SI2,62.3,58.0,447,4.29,4.32,2.68
573,0.3,Ideal,D,SI2,60.2,56.0,447,4.37,4.4,2.64
574,0.3,Very Good,D,SI2,62.2,59.0,447,4.25,4.3,2.66
575,0.34,Very Good,I,SI1,61.8,57.0,447,4.46,4.51,2.77
576,0.34,Good,F,SI2,63.5,56.0,447,4.44,4.48,2.83
577,0.3,Ideal,D,SI2,62.1,57.0,447,4.3,4.33,2.68
578,0.34,Very Good,G,SI2,62.8,59.0,447,4.45,4.47,2.8
579,0.3,Very Good,G,SI1,62.8,56.0,447,4.28,4.32,2.7
580,0.3,Very Good,G,SI1,62.7,58.0,447,4.22,4.27,2.66
581,0.3,Good,D,SI2,63.4,56.0,447,4.26,4.29,2.71
582,0.3,Good,D,SI2,63.2,57.0,447,4.21,4.24,2.67
583,0.3,Very Good,D,SI2,61.8,58.0,447,4.29,4.32,2.66
584,0.34,Very Good,F,SI2,61.7,61.0,447,4.44,4.48,2.75
585,0.3,Very Good,G,SI1,58.8,60.0,447,4.35,4.39,2.57
586,0.3,Very Good,G,SI1,59.5,63.0,447,4.29,4.32,2.56
587,0.3,Very Good,G,SI1,59.7,60.0,447,4.35,4.39,2.61
588,0.34,Premium,I,SI1,62.7,58.0,447,4.4,4.43,2.77
589,0.34,Very Good,G,SI2,62.8,58.0,447,4.43,4.46,2.79
590,0.34,Good,I,SI1,63.7,54.0,447,4.43,4.48,2.84
591,0.3,Very Good,G,SI1,61.4,57.0,447,4.31,4.35,2.66
592,0.3,Very Good,G,SI1,62.9,59.0,447,4.24,4.28,2.68
593,0.3,Premium,D,SI2,60.2,60.0,447,4.32,4.35,2.61
594,0.28,Ideal,I,VS1,61.8,55.0,448,4.2,4.25,2.61
595,0.28,Ideal,I,VS1,62.5,54.0,448,4.18,4.23,2.63
596,0.28,Ideal,I,VS1,62.4,54.0,448,4.18,4.19,2.61
597,0.26,Ideal,H,VS1,62.6,56.0,448,4.07,4.09,2.55
598,0.26,Ideal,H,VS1,61.9,55.0,448,4.1,4.13,2.55
599,0.26,Ideal,H,VS1,62.1,56.0,448,4.13,4.15,2.56
600,0.26,Ideal,H,VS1,61.8,56.0,448,4.12,4.14,2.55
601,0.33,Ideal,H,SI2,61.2,54.0,448,4.45,4.5,2.74
602,0.24,Very Good,H,VVS2,61.3,57.0,449,4.01,4.04,2.46
603,0.24,Very Good,H,VVS2,61.4,57.0,449,4.02,4.04,2.47
604,0.24,Very Good,H,VVS2,61.9,57.0,449,3.97,4.01,2.47
605,0.24,Very Good,H,VVS2,61.5,56.0,449,3.99,4.01,2.46
606,0.24,Very Good,G,VVS2,62.0,56.0,449,4.0,4.03,2.49
607,0.24,Very Good,G,VVS2,62.0,57.0,449,4.0,4.03,2.49
608,0.24,Very Good,G,VVS2,62.0,56.0,449,3.99,4.03,2.48
609,0.24,Very Good,H,VVS1,61.3,56.0,449,4.01,4.04,2.46
610,0.24,Very Good,H,VVS1,62.3,56.0,449,3.99,4.02,2.49
611,0.27,Very Good,E,VS2,58.6,57.0,449,4.3,4.33,2.53
612,0.24,Very Good,H,IF,61.3,56.0,449,4.04,4.06,2.48
613,0.24,Ideal,H,VVS1,62.4,56.0,449,3.99,4.03,2.5
614,0.27,Ideal,H,VS1,62.2,56.0,449,4.12,4.15,2.57
615,0.32,Ideal,D,SI2,62.1,55.0,449,4.38,4.4,2.73
616,0.32,Ideal,G,SI1,61.8,55.0,449,4.4,4.43,2.73
617,0.23,Very Good,D,SI2,63.5,57.0,449,3.87,3.85,2.45
618,0.32,Premium,H,SI1,61.3,60.0,449,4.36,4.42,2.69
619,0.32,Very Good,H,SI1,61.9,59.0,449,4.38,4.41,2.72
620,0.32,Very Good,E,SI2,62.4,58.0,449,4.35,4.4,2.73
621,0.32,Ideal,I,VS2,62.2,57.0,449,4.39,4.42,2.74
622,0.32,Very Good,H,SI1,61.9,58.0,449,4.34,4.38,2.7
623,0.32,Ideal,I,VS2,62.5,55.0,449,4.38,4.39,2.74
624,0.32,Very Good,I,VS2,62.8,58.0,449,4.33,4.37,2.73
625,0.32,Premium,E,SI2,61.2,58.0,449,4.39,4.44,2.7
626,0.32,Ideal,E,SI2,62.0,55.0,449,4.36,4.41,2.72
627,0.32,Ideal,I,VS2,62.5,57.0,449,4.35,4.39,2.73
628,0.32,Ideal,I,VS2,62.0,57.0,449,4.36,4.41,2.72
629,0.32,Very Good,I,VS2,63.0,56.0,449,4.38,4.42,2.77
630,0.32,Good,H,SI1,63.1,54.0,449,4.36,4.42,2.77
631,0.32,Very Good,I,VS2,61.1,57.0,449,4.39,4.42,2.69
632,0.32,Ideal,H,SI1,60.6,57.0,449,4.4,4.44,2.68
633,0.32,Premium,E,SI2,61.7,60.0,449,4.38,4.41,2.71
634,0.32,Good,H,SI1,63.1,55.0,449,4.34,4.37,2.75
635,0.32,Very Good,H,SI1,62.2,56.0,449,4.36,4.39,2.72
636,0.32,Very Good,I,VS2,63.0,55.0,449,4.34,4.39,2.75
637,0.32,Ideal,I,VS2,62.5,55.0,449,4.37,4.4,2.74
638,0.32,Ideal,I,VS2,61.5,56.0,449,4.4,4.41,2.71
639,0.32,Very Good,I,VS2,62.9,57.0,449,4.37,4.4,2.76
640,0.32,Ideal,I,VS2,60.3,56.0,449,4.44,4.45,2.68
641,0.32,Very Good,E,SI2,62.7,57.0,449,4.34,4.37,2.73
642,0.32,Good,I,VS2,63.2,56.0,449,4.32,4.38,2.75
643,0.32,Ideal,I,VS2,61.6,56.0,449,4.37,4.39,2.7
644,0.32,Premium,E,SI2,59.7,60.0,449,4.43,4.45,2.65
645,0.32,Very Good,I,VS2,63.0,57.0,449,4.33,4.37,2.74
646,0.32,Ideal,I,VS2,61.3,56.0,449,4.38,4.43,2.7
647,0.32,Premium,I,VS2,62.2,59.0,449,4.35,4.37,2.71
648,0.32,Good,I,VS2,63.4,55.0,449,4.33,4.37,2.76
649,0.32,Ideal,E,SI2,62.7,55.0,449,4.39,4.42,2.76
650,0.32,Premium,I,VS2,62.6,58.0,449,4.37,4.42,2.75
651,0.28,Very Good,H,VVS2,62.4,54.0,450,4.2,4.23,2.63
652,0.25,Ideal,I,VS2,62.0,57.0,450,4.02,4.06,2.5
653,0.32,Ideal,G,SI2,61.6,56.0,450,4.44,4.46,2.74
654,0.32,Ideal,G,SI2,61.8,55.0,450,4.4,4.43,2.73
655,0.32,Ideal,G,SI2,62.2,53.0,450,4.4,4.44,2.75
656,0.36,Ideal,F,SI2,62.2,55.0,450,4.57,4.59,2.85
657,0.33,Ideal,F,SI2,62.3,55.0,450,4.44,4.49,2.78
658,0.36,Ideal,F,SI2,61.2,56.0,450,4.61,4.64,2.83
659,0.32,Ideal,I,SI1,61.9,54.0,450,4.41,4.45,2.74
660,0.3,Ideal,J,SI1,62.3,57.0,367,4.27,4.3,2.67
661,0.2,Premium,E,VS2,59.8,62.0,367,3.79,3.77,2.26
662,0.2,Premium,E,VS2,59.0,60.0,367,3.81,3.78,2.24
663,0.2,Premium,E,VS2,61.1,59.0,367,3.81,3.78,2.32
664,0.2,Premium,E,VS2,59.7,62.0,367,3.84,3.8,2.28
665,0.2,Ideal,E,VS2,59.7,55.0,367,3.86,3.84,2.3
666,0.2,Premium,F,VS2,62.6,59.0,367,3.73,3.71,2.33
667,0.2,Ideal,D,VS2,61.5,57.0,367,3.81,3.77,2.33
668,0.2,Very Good,E,VS2,63.4,59.0,367,3.74,3.71,2.36
669,0.2,Ideal,E,VS2,62.2,57.0,367,3.76,3.73,2.33
670,0.2,Premium,D,VS2,62.3,60.0,367,3.73,3.68,2.31
671,0.2,Premium,D,VS2,61.7,60.0,367,3.77,3.72,2.31
672,0.25,Ideal,H,VS2,61.0,55.0,367,4.09,4.11,2.5
673,0.3,Premium,J,VS2,62.2,58.0,368,4.28,4.3,2.67
674,0.3,Good,H,SI2,63.9,56.0,368,4.24,4.27,2.72
675,0.3,Very Good,J,VS2,61.6,61.0,368,4.28,4.33,2.65
676,0.3,Good,J,VS2,63.4,57.0,368,4.22,4.26,2.69
677,0.3,Premium,J,VS2,60.6,59.0,368,4.34,4.38,2.64
678,0.3,Premium,H,SI2,60.9,59.0,368,4.32,4.35,2.64
679,0.23,Very Good,G,VS2,62.8,53.0,369,3.91,3.93,2.46
680,0.23,Very Good,H,IF,63.9,55.0,369,3.89,3.9,2.49
681,0.23,Fair,G,VVS2,61.4,66.0,369,3.87,3.91,2.39
682,0.24,Very Good,F,SI1,61.6,57.0,370,4.02,4.05,2.48
683,0.26,Ideal,I,VS2,61.8,55.0,371,4.12,4.17,2.56
684,0.32,Ideal,I,SI2,61.7,55.0,371,4.39,4.42,2.72
685,0.27,Fair,E,VS1,66.4,58.0,371,3.99,4.02,2.66
686,0.31,Ideal,I,SI2,62.0,54.1,372,4.32,4.35,2.69
687,0.24,Very Good,D,VS2,61.4,60.0,373,3.98,4.0,2.45
688,0.23,Very Good,E,VS2,62.5,59.0,373,3.91,3.96,2.46
689,0.24,Very Good,F,VS1,62.5,55.0,373,3.94,3.97,2.47
690,0.32,Ideal,I,SI1,61.2,56.0,450,4.4,4.44,2.7
691,0.32,Ideal,I,SI1,60.5,58.0,450,4.43,4.49,2.7
692,0.3,Ideal,H,SI1,61.9,57.0,450,4.3,4.32,2.67
693,0.3,Ideal,H,SI1,62.4,55.0,450,4.3,4.32,2.69
694,0.3,Ideal,H,SI1,62.2,57.0,450,4.26,4.29,2.66
695,0.3,Ideal,H,SI1,61.3,58.0,450,4.3,4.34,2.65
696,0.3,Ideal,H,SI1,62.2,57.0,450,4.27,4.28,2.66
697,0.3,Ideal,H,SI1,62.2,57.0,450,4.26,4.29,2.66
698,0.3,Ideal,H,SI1,62.2,57.0,450,4.27,4.31,2.67
699,0.3,Ideal,H,SI1,62.2,57.0,450,4.27,4.28,2.66
700,0.3,Ideal,H,SI1,61.6,54.0,450,4.33,4.37,2.68
701,0.3,Ideal,H,SI1,60.9,58.0,450,4.31,4.33,2.63
702,0.3,Ideal,H,SI1,62.1,55.0,450,4.3,4.33,2.68
703,0.3,Ideal,H,SI1,62.0,56.0,450,4.29,4.32,2.67
704,0.3,Ideal,H,SI1,62.1,56.0,450,4.29,4.31,2.67
705,0.3,Very Good,I,SI2,63.3,56.0,450,4.3,4.26,2.71
706,0.3,Premium,J,SI1,62.7,59.0,450,4.27,4.21,2.66
707,0.3,Very Good,J,SI1,63.4,54.0,450,4.29,4.23,2.7
708,0.3,Good,J,SI1,63.8,56.0,450,4.26,4.23,2.71
709,0.33,Premium,J,VS2,59.6,61.0,450,4.53,4.49,2.69
710,0.25,Very Good,H,VVS1,60.1,62.0,450,4.08,4.11,2.46
711,0.25,Ideal,H,VVS1,62.5,56.0,450,4.03,4.06,2.53
712,0.25,Premium,H,VVS1,59.8,59.0,450,4.07,4.09,2.44
713,0.25,Very Good,G,VVS1,63.7,54.0,451,3.98,4.03,2.55
714,0.27,Ideal,H,VS2,61.7,56.0,451,4.13,4.17,2.56
715,0.33,Ideal,J,VS1,61.6,54.0,451,4.5,4.52,2.78
716,0.39,Ideal,J,SI2,62.6,54.0,451,4.64,4.69,2.92
717,0.37,Ideal,J,SI1,62.2,53.0,451,4.63,4.67,2.89
718,0.28,Very Good,E,VS1,59.0,60.0,452,4.26,4.32,2.53
719,0.28,Very Good,E,VS1,61.4,60.0,452,4.16,4.24,2.58
